CÓDIGO ;PRODUTO ;CUSTO;VENDA;DESCONTO A VISTA 
;BOTA PVC SOLA AMARELA MOTOSAFE;80.02;125.0;114.31428571428572
;BOTAO FRANCES METAL CROMADO;3.71;5.8;5.300000000000001
;BOTINA COURO S/ BICO FERRO PRETA;42.99;62.0;61.41428571428572
;BRAÇO DE CHUVEIRO ALUMÍNIO 40CM;6.58;10.5;9.4
;BRAÇO DE CHUVEIRO ALUMINIO REFORÇADO 30CM;13.0;20.9;18.571428571428573
;BRASFORT CANETA PARA MARCAR PISO;1.82;3.0;2.6
;BRASFORT FIODE NYLON ROÇADEIRA;5.68;12.0;8.114285714285714
;BRASFORT FITA DEMARCAÇAO  150M ZEBRADA;11.6;18.0;16.571428571428573
;BROCA 3 PONTAS IRWIN 10MM;7.63;12.9;10.9
;BROCA 3 PONTAS IRWIN 4MM;5.71;8.8;8.157142857142858
;BROCA 3 PONTAS IRWIN 5MM;5.85;9.0;8.357142857142858
;BROCA 3 PONTAS IRWIN 6MM;2.25;3.5;3.2142857142857144
4056807411545.0;BROCA 3 PONTAS WURTH 3MM;1.31;2.5;1.8714285714285717
4056807411699.0;BROCA 3 PONTAS WURTH 8MM;3.68;10.5;5.257142857142858
;BROCA CHATA 1/2;7.2;12.0;10.285714285714286
;BROCA CHATA 1/4;6.8;10.5;9.714285714285715
;BROCA CHATA 3/8;7.2;12.0;10.285714285714286
;BROCA CHATA 5/16;6.8;10.5;9.714285714285715
;BROCA CONCRETO 6MM;6.08;9.2;8.685714285714287
4056807120485.0;BROCA CONCRETO WURTH 8MM;7.11;11.5;10.157142857142858
;BROCA HSS 9/64;3.77;7.9;5.385714285714286
;BROCA HSS FERRO 1/16;2.38;3.9;3.4
;BROCA HSS FERRO 1/4;10.0;15.4;14.285714285714286
;BROCA HSS FERRO 1/8;3.44;5.3;4.914285714285715
;BROCA HSS FERRO 3/8;9.2;15.6;13.142857142857142
;BROCA HSS FERRO 5/16;9.62;14.9;13.742857142857142
;BROCA HSS FERRO 5/32;4.04;6.5;5.771428571428572
4046777131192.0;BROCA HSS FERRO WURTH 3/16;7.53;12.5;10.757142857142858
;Broca Longa 3/8 Videa - Concreto;16.0;24.6;22.857142857142858
;Broca Longa 5/16 Videa - Concreto;12.66;17.8;18.085714285714285
;BROCA MOURAO MADEIRA 1/2 PROFIELD;22.67;38.0;32.38571428571429
;BROCA MOURAO MADEIRA 3/8 MELFI;22.5;35.9;32.142857142857146
;BROXA RETANGULAR PLASTICO;5.4;9.0;7.714285714285715
;BUCHA BLOCO BRANCA 10MM;0.4;0.65;0.5714285714285715
;BUCHA BLOCO BRANCA 12MM;0.55;0.85;0.7857142857142858
;BUCHA BLOCO BRANCA 6MM;0.09;0.15;0.1285714285714286
;BUCHA BLOCO BRANCA 8MM;0.3;0.45;0.4285714285714286
;BUCHA ELETRODUTO CONDUITE 1.1/4 ALUMINIO;1.51;2.5;2.1571428571428575
;BUCHA REDUÇAO 3/4X1/2 AMARELA;3.9;6.0;5.571428571428572
;BUCHA TIJOLO 10,0MM;0.1;0.15;0.14285714285714288
;BUCHA TIJOLO 8,0MM;0.05;0.15;0.07142857142857144
;Bucha W UM Pead 6,0mm;0.24;0.4;0.34285714285714286
;BUCHA W-UM PEAD C/ ANEL 8;0.32;0.5;0.4571428571428572
;BUCHA W-Z WURTH 14MM;6.28;8.5;8.971428571428572
;CABIDE COLANTE ASTRA CARTELA C/ 2;14.28;22.0;20.400000000000002
;CABIDE COLANTE ASTRA CARTELA C/ 4;18.47;29.0;26.385714285714286
;CABIDE DUPLO ALIANÇA;6.99;15.8;9.985714285714286
;Cabide Metal 5 Gancho;9.0;15.0;12.857142857142858
;CABO CAVADEIRA ARTICULADA;9.86;16.0;14.085714285714285
;CABO COAXIAL 95% FOXLUX;1.4;2.2;2.0
;CABO DE REDE MONTADO 10M;12.9;18.9;18.42857142857143
;CABO DE VASSOURA;5.11;8.0;7.300000000000001
;CABO ENXADA 120CM;12.82;20.0;18.314285714285717
;CABO ENXADA 150CM;9.51;15.0;13.585714285714285
7896380170586.0;CABO EXTENSOR PROLONGADOR ATLAS 2 METROS;22.12;35.0;31.600000000000005
7891395015082.0;CABO EXTENSOR PROLONGADOR TIGRE 3 METROS;26.34;42.0;37.62857142857143
;CABO FLEXIVEL AA 1,5MM ;0.97;1.5;1.3857142857142857
;CABO FLEXIVEL AB 2,5MM ;1.55;2.5;2.2142857142857144
;CABO FLEXIVEL B 4MM ;2.52;3.9;3.6
;CABO FLEXIVEL C 6MM;3.85;5.95;5.500000000000001
;CABO FLEXIVEL D 10MM;6.41;9.9;9.157142857142858
;CABO FLEXIVEL E 16MM ;7.79;12.4;11.12857142857143
;CABO PARALELO  1,5MM ;2.25;3.5;3.2142857142857144
;CABO PARALELO  2,5MM ;3.32;5.2;4.742857142857143
;CABO PP 2X1,5MM;2.8;4.35;4.0
;CABO PP 2X2,5MM;4.6;7.1;6.571428571428571
;CABO SOM CRISTAL 2x1.5MM;2.08;3.2;2.9714285714285715
;Cabo Transferência Barteria - Chupeta;49.2;72.0;70.28571428571429
;Cadeado Haste Longa 30 Papaiz;26.4;36.8;37.714285714285715
;CADEADO PADO LT-20MM;14.26;22.0;20.371428571428574
;CADEADO PADO LT-25mm;16.58;26.8;23.685714285714283
;CADEADO PADO LT-30mm;17.5;30.0;25.0
;CADEADO PADO LT-35mm;25.88;40.8;36.971428571428575
;CADEADO PADO LT-40mm;28.62;45.0;40.88571428571429
;CADEADO PADO LT-50mm;41.13;55.6;58.75714285714287
;CADEADO TRIANGLE 20MM;6.4;10.2;9.142857142857144
;CADEADO TRIANGLE 25MM;8.2;11.5;11.714285714285714
;CADEADO TRIANGLE 32MM;12.0;20.0;17.142857142857142
;CADEADO TRIANGLE 38MM;11.2;17.9;16.0
;CADEADO TRIANGLE 50MM;18.9;30.0;27.0
;CADEADO TRIANGLE 75MM;36.9;58.9;52.714285714285715
;CAIDA D'AGUA FORTLEV 100L;132.59;205.0;189.41428571428574
;CAIDA D'AGUA FORTLEV 2000L;784.99;1250.0;1121.4142857142858
7891333103574.0;CAIXA ACOPLADA INCEPA THEMA P/ BACIA QUAD;206.8;320.0;295.42857142857144
;CAIXA D'ADUA FORTLEV TANQUE TAMPA COM ROSCA 500L;334.12;515.0;477.31428571428575
;CAIXA D'AGUA FORTLEV 1000L;305.82;475.0;436.8857142857143
;CAIXA D'AGUA FORTLEV 250L;169.0;260.0;241.42857142857144
;CAIXA D'AGUA FORTLEV 310L;179.34;280.0;256.20000000000005
;CAIXA D'AGUA FORTLEV 500L;190.0;300.0;271.42857142857144
;CAIXA DE CORREIO CORRESPONDENCIA VERTICAL;23.87;38.9;34.1
;CAIXA DE CORREIO PVC PRIME;29.84;46.0;42.62857142857143
;CAIXA DE CORREIO REVISTA;65.76;95.8;93.94285714285715
;CAIXA DE CORREIO TIJOLINHO;42.84;66.0;61.20000000000001
;CAIXA DE GORDURA COM CESTO;57.17;92.0;81.67142857142858
;CAIXA DE INSPECAO ;54.03;90.0;77.1857142857143
;CAIXA DE PASSAGEM;105.0;162.0;150.0
;CAIXA FERRAMENTA 5 GAVETAS N07 METAL 50X20X21;136.49;210.0;194.98571428571432
;CAIXA FERRAMENTA BAU N02 METAL 40X16X15;70.89;110.0;101.27142857142857
7891435046403.0;CAIXA LUZ TOMADA EMBUTIR AMARELA TRAMONTINA;1.05;2.0;1.5000000000000002
;CAIXA LUZ TOMADA EMBUTIR ESMALTADA FERRO;2.21;3.5;3.1571428571428575
;CAIXA LUZ TOMADA EMBUTIR LEGRAND PRETA;0.91;1.5;1.3
;CAIXA MEDICAO ACRILICA ELEKTRO;109.9;170.0;157.00000000000003
;CAIXA PADRAO SABESP;86.12;145.0;123.02857142857144
;CAIXA PASSAGEM EXTERNA VENTILADOR;2.8;6.0;4.0
;CAIXA PROTECAO 2 DISJUNTOR STECK AR CONDICIONADO;8.9;15.8;12.714285714285715
;CAIXA SIFONADA  100x100x50 HERC;12.2;19.5;17.428571428571427
;Caixa Sifonada 250x230x75 Quad Branca;63.29;85.5;90.41428571428573
;CAIXA SIFONADA ASTRA COM FECHO 150X150X50 CROMADA;37.89;59.0;54.12857142857143
;CAIXA SIFONADA ASTRA SIMPLES 150X150X50 CROMADA;32.64;51.0;46.62857142857143
;CAIXA SIFONADA BRANCA INJEREST 100 QUAD;11.75;19.9;16.78571428571429
;CAIXA SIFONADA C/ TAMPA QUADRADA 150X150X50 HERC;28.12;45.8;40.17142857142858
;CAIXA SIFONADA C/ TAMPA QUADRADA 250X172X50 HERC;66.83;91.5;95.47142857142858
;CAIXA SIFONADA CROMADA INJEREST 100 QUAD;15.37;24.8;21.95714285714286
;CAL HIDRATADA CH lll ITAU 20KG;15.72;20.0;22.45714285714286
;CAL HIDRATADA TRADICAL;11.07;16.0;15.814285714285715
;CAL PINTURA 8KG;10.12;15.0;14.457142857142857
;CAMISETA CAMISA PESCA;39.9;65.0;57.0
;CANAA TUBO ESGOTO RECICLADO 100MM;40.43;72.0;57.75714285714286
;CANAA TUBO ESGOTO RECICLADO 150MM;142.35;220.0;203.35714285714286
;CANAA TUBO ESGOTO RECICLADO 40MM;15.75;34.0;22.5
;CANAA TUBO ESGOTO RECICLADO 50MM;33.47;53.0;47.81428571428572
;CANAA TUBO ESGOTO RECICLADO 75MM;36.18;62.0;51.68571428571429
;CANAA TUBO SOLDAVEL 25MM;12.34;23.0;17.62857142857143
;CANAA TUBO SOLDAVEL 50MM;44.69;70.0;63.84285714285714
;CANALETA  BR 10X10X2M;4.96;8.0;7.085714285714286
;CANALETA BR 20X10X1M;2.95;5.2;4.214285714285714
;CANALETA BR 20X10X2M;4.9;9.0;7.000000000000001
;CANIVETE;16.9;26.9;24.142857142857142
;CANTONEIRA ABAS IGUAIS 1'';1.0;1.8;1.4285714285714286
